run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_nash_conv,straightforward_rewards,straightforward_nash_conv_frac,straightforward_heuristic_conv,straightforward_heuristic_conv_frac,straightforward_rewards_0,straightforward_nc_player_improvements_0,straightforward_nc_player_improvements_frac_0,straightforward_hc_player_improvements_0,straightforward_hc_player_improvements_frac_0,straightforward_rewards_1,straightforward_nc_player_improvements_1,straightforward_nc_player_improvements_frac_1,straightforward_hc_player_improvements_1,straightforward_hc_player_improvements_frac_1,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold,rho_0_nash_conv,rho_0_heuristic_conv,rho_0_nash_conv_runtime,rho_0_heuristic_conv_runtime,rho_0_nash_conv_player_improvements,rho_0_heuristic_conv_player_improvements
feb10_2p_5type_feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-103,feb10_2p_5type/feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break.json,103,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_3,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,546501,3600.0065920352936,0.0,"[15.146547685394278, 8.96198973340763]",0.0,0.0,0.0,15.146547685394278,0.0,0.0,0.0,0.0,8.96198973340763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.146547685394278,23.152500000000007,0.0,0.0,1.0,0.0,0.0,8.96198973340763,19.717499999999994,0.0,0.0,1.0,0.0,66.97853741880192,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.1682281339448224,"[14.141982428973993, 8.082023481062697]",0.052566046763748986,1.1682281339448224,0.052566046763748986,14.141982428973993,1.0218801702436267,0.07225862253583386,1.0218801702436267,0.07225862253583386,8.082023481062697,0.14634796370119574,0.018107836984649864,0.14634796370119574,0.018107836984649864,0.0,0.0,1.0,0.0,0.0,14.141982428973993,21.993433246597284,0.0,0.0,1.0,0.0,0.0,8.082023481062697,19.257671637309844,0.0,0.0,1.0,0.0,63.47511079394383,41.25110488390713,3.0,0.20226180944755803,0.20226180944755803,1.6188951160928742,0.13490792634107285,"[((0, 3), 8301), ((0, 2), 1348), ((1, 1), 343)]",[0.13490793 0.        ],0.0,0.0,5.677321910858154,3.2036807537078857,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-106,feb10_2p_5type/feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break.json,106,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_3,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,501490,3600.0046515464783,0.0,"[15.146547685394278, 8.96198973340763]",0.0,0.0,0.0,15.146547685394278,0.0,0.0,0.0,0.0,8.96198973340763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.146547685394278,23.152500000000007,0.0,0.0,1.0,0.0,0.0,8.96198973340763,19.717499999999994,0.0,0.0,1.0,0.0,66.97853741880192,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.1682281339448224,"[14.141982428973993, 8.082023481062697]",0.052566046763748986,1.1682281339448224,0.052566046763748986,14.141982428973993,1.0218801702436267,0.07225862253583386,1.0218801702436267,0.07225862253583386,8.082023481062697,0.14634796370119574,0.018107836984649864,0.14634796370119574,0.018107836984649864,0.0,0.0,1.0,0.0,0.0,14.141982428973993,21.993433246597284,0.0,0.0,1.0,0.0,0.0,8.082023481062697,19.257671637309844,0.0,0.0,1.0,0.0,63.47511079394383,41.25110488390713,3.0,0.20226180944755803,0.20226180944755803,1.6188951160928742,0.13490792634107285,"[((0, 3), 8301), ((0, 2), 1348), ((1, 1), 343)]",[0.13490793 0.        ],0.0,0.0,6.525895357131958,3.491697072982788,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-105,feb10_2p_5type/feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break.json,105,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_3,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,535533,3600.0056335926056,0.0,"[15.146547685394278, 8.96198973340763]",0.0,0.0,0.0,15.146547685394278,0.0,0.0,0.0,0.0,8.96198973340763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.146547685394278,23.152500000000007,0.0,0.0,1.0,0.0,0.0,8.96198973340763,19.717499999999994,0.0,0.0,1.0,0.0,66.97853741880192,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.1682281339448224,"[14.141982428973993, 8.082023481062697]",0.052566046763748986,1.1682281339448224,0.052566046763748986,14.141982428973993,1.0218801702436267,0.07225862253583386,1.0218801702436267,0.07225862253583386,8.082023481062697,0.14634796370119574,0.018107836984649864,0.14634796370119574,0.018107836984649864,0.0,0.0,1.0,0.0,0.0,14.141982428973993,21.993433246597284,0.0,0.0,1.0,0.0,0.0,8.082023481062697,19.257671637309844,0.0,0.0,1.0,0.0,63.47511079394383,41.25110488390713,3.0,0.20226180944755803,0.20226180944755803,1.6188951160928742,0.13490792634107285,"[((0, 3), 8301), ((0, 2), 1348), ((1, 1), 343)]",[0.13490793 0.        ],0.0,0.0,5.857297420501709,3.260617733001709,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-107,feb10_2p_5type/feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break.json,107,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_3,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,576946,3600.0070712566376,0.0,"[15.146547685394278, 8.96198973340763]",0.0,0.0,0.0,15.146547685394278,0.0,0.0,0.0,0.0,8.96198973340763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.146547685394278,23.152500000000007,0.0,0.0,1.0,0.0,0.0,8.96198973340763,19.717499999999994,0.0,0.0,1.0,0.0,66.97853741880192,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.1682281339448224,"[14.141982428973993, 8.082023481062697]",0.052566046763748986,1.1682281339448224,0.052566046763748986,14.141982428973993,1.0218801702436267,0.07225862253583386,1.0218801702436267,0.07225862253583386,8.082023481062697,0.14634796370119574,0.018107836984649864,0.14634796370119574,0.018107836984649864,0.0,0.0,1.0,0.0,0.0,14.141982428973993,21.993433246597284,0.0,0.0,1.0,0.0,0.0,8.082023481062697,19.257671637309844,0.0,0.0,1.0,0.0,63.47511079394383,41.25110488390713,3.0,0.20226180944755803,0.20226180944755803,1.6188951160928742,0.13490792634107285,"[((0, 3), 8301), ((0, 2), 1348), ((1, 1), 343)]",[0.13490793 0.        ],0.0,0.0,5.4294350147247314,2.9621856212615967,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-109,feb10_2p_5type/feb10_2p_5type_3_base_dev1000_rho1_t5_tie_break.json,109,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_3,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,560457,3600.00385761261,0.0,"[15.146547685394278, 8.96198973340763]",0.0,0.0,0.0,15.146547685394278,0.0,0.0,0.0,0.0,8.96198973340763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.146547685394278,23.152500000000007,0.0,0.0,1.0,0.0,0.0,8.96198973340763,19.717499999999994,0.0,0.0,1.0,0.0,66.97853741880192,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.1682281339448224,"[14.141982428973993, 8.082023481062697]",0.052566046763748986,1.1682281339448224,0.052566046763748986,14.141982428973993,1.0218801702436267,0.07225862253583386,1.0218801702436267,0.07225862253583386,8.082023481062697,0.14634796370119574,0.018107836984649864,0.14634796370119574,0.018107836984649864,0.0,0.0,1.0,0.0,0.0,14.141982428973993,21.993433246597284,0.0,0.0,1.0,0.0,0.0,8.082023481062697,19.257671637309844,0.0,0.0,1.0,0.0,63.47511079394383,41.25110488390713,3.0,0.20226180944755803,0.20226180944755803,1.6188951160928742,0.13490792634107285,"[((0, 3), 8301), ((0, 2), 1348), ((1, 1), 343)]",[0.13490793 0.        ],0.0,0.0,5.679694890975952,3.086076021194458,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5-cfr_10external_plus_linear-101,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5.json,101,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,534574,3600.0011744499207,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.408455848693848,3.1431891918182373,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5-cfr_10external_plus_linear-103,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5.json,103,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,544996,3600.004934310913,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.149376630783081,3.071662425994873,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5-cfr_10external_plus_linear-104,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5.json,104,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,559799,3600.0022206306458,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,5.700594902038574,2.802617073059082,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5-cfr_10external_plus_linear-107,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5.json,107,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,536407,3600.0032958984375,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.289020538330078,3.116185188293457,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-100,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break.json,100,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,510805,3600.0015366077423,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.723387718200684,3.2093467712402344,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-101,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break.json,101,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,566104,3600.003674507141,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.13144326210022,3.039989948272705,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-102,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break.json,102,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,553286,3600.0038678646088,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.015061855316162,2.9432260990142822,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-104,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break.json,104,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,583001,3600.954083442688,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,5.747535228729248,2.9393351078033447,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-107,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break.json,107,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,551264,3600.0038554668427,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.18435263633728,3.1121716499328613,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_7type_feb10_2p_7type_0_base_dev1000_rho1_t7-cfr_10external_plus_linear-100,feb10_2p_7type/feb10_2p_7type_0_base_dev1000_rho1_t7.json,100,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_7type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,7,1000,True,501591,3600.0057032108307,0.0,"[12.878392377735787, 11.621254881597475]",0.0,0.0,0.0,12.878392377735787,0.0,0.0,0.0,0.0,11.621254881597475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.878392377735787,22.415318147703395,0.0,0.0,1.0,0.0,0.0,11.621254881597475,20.710155583908737,0.0,0.0,1.0,0.0,67.6251209909454,43.12547373161213,3.165515861102772,0.3032122485740018,0.3032122485740018,0.0,0.0,"[((0, 3), 7291), ((1, 1), 2702)]",[0. 0.],0.3015244615800228,"[12.327118252140481, 11.373634509354048]",0.012722147039561336,0.050695416492079204,0.002138979170924968,12.327118252140481,0.06453553448745808,0.005235249079909826,0.0,0.0,11.373634509354048,0.2369889270925647,0.02083669269464016,0.050695416492079204,0.004457274976647583,0.0,0.0,1.0,0.0,0.0,12.327118252140481,22.715473273974936,0.0,0.0,1.0,0.0,0.0,11.373634509354048,21.086997324781514,0.0,0.0,1.0,0.0,67.50322336025097,43.80247059875644,3.5606363818290974,0.3242945767460476,0.3242945767460476,0.0,0.0,"[((0, 3), 6997), ((1, 1), 2997)]",[0. 0.],0.0,0.0,17.14084529876709,8.056129455566406,"[0.0, 0.0]","[0.0, 0.0]"
feb10_2p_5type_feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break-cfr_10external_plus_linear-109,feb10_2p_5type/feb10_2p_5type_4_base_dev1000_rho1_t5_tie_break.json,109,cfr_10external_plus_linear,cfr_external_linear,feb10_2p_5type_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,531698,3600.00128030777,0.0,"[13.493701223611057, 11.610111582349631]",0.0,0.0,0.0,13.493701223611057,0.0,0.0,0.0,0.0,11.610111582349631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.493701223611057,23.152500000000007,0.0,0.0,1.0,0.0,0.0,11.610111582349631,19.717499999999994,0.0,0.0,1.0,0.0,67.97381280596069,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.06979479360188989,"[13.250380755264914, 11.539152354021736]",0.0028154944788267664,0.0,0.0,13.250380755264914,0.0,0.0,0.0,0.0,11.539152354021736,0.06979479360188989,0.006048519983148012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.250380755264914,23.38601731038624,0.0,0.0,1.0,0.0,0.0,11.539152354021736,19.795339103462076,0.0,0.0,1.0,0.0,67.97088952313496,43.18135641384831,3.2017210326195715,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.],0.0,0.0,6.654350996017456,3.2738757133483887,"[0.0, 0.0]","[0.0, 0.0]"
