run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold
jan19boring_jan19boring_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-100,jan19boring/jan19boring_1_base_dev1000_rho0_t3.json,100,cfr_10external_plus_linear,cfr_external_linear,jan19boring_1_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,57501,"(3621.3131399154663,)",0.0,"[12.684757530271188, 9.765608125687976]",0.0,0.0,0.0,12.684757530271188,0.0,0.0,0.0,0.0,9.765608125687976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.684757530271188,22.393697388171724,0.0,0.0,1.0,0.0,0.0,9.765608125687976,24.21087541278895,0.0,0.0,1.0,0.0,69.05493845691984,46.60457280096069,3.1092764935454817,0.5582908035624937,0.5582908035624937,1.1102230246251565e-15,2.220446049250313e-16,"[((0, 4), 4474), ((1, 2), 3856), ((2, 0), 1663)]",[0.00000000e+00 2.22044605e-16],0.0,0.0,1.0,0.0,0.0,12.534163905390537,22.549244435443548,0.0,0.0,1.0,0.0,0.0,9.613581847184715,24.367916302630263,0.0,0.0,1.0,0.0,69.06490649064907,46.91716073807383,3.328832883288329,0.5578557855785579,0.5578557855785579,0.0,0.0,"[((0, 4), 4476), ((1, 2), 3862), ((2, 0), 1661)]",[0. 0.]
jan19boring_jan19boring_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-101,jan19boring/jan19boring_1_base_dev1000_rho0_t3.json,101,cfr_10external_plus_linear,cfr_external_linear,jan19boring_1_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,56501,"(3611.976419687271,)",0.0,"[12.684757530271188, 9.765608125687976]",0.0,0.0,0.0,12.684757530271188,0.0,0.0,0.0,0.0,9.765608125687976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.684757530271188,22.393697388171724,0.0,0.0,1.0,0.0,0.0,9.765608125687976,24.21087541278895,0.0,0.0,1.0,0.0,69.05493845691984,46.60457280096069,3.1092764935454817,0.5582908035624937,0.5582908035624937,1.1102230246251565e-15,2.220446049250313e-16,"[((0, 4), 4474), ((1, 2), 3856), ((2, 0), 1663)]",[0.00000000e+00 2.22044605e-16],0.0,0.0,1.0,0.0,0.0,12.534163905390537,22.549244435443548,0.0,0.0,1.0,0.0,0.0,9.613581847184715,24.367916302630263,0.0,0.0,1.0,0.0,69.06490649064907,46.91716073807383,3.328832883288329,0.5578557855785579,0.5578557855785579,0.0,0.0,"[((0, 4), 4476), ((1, 2), 3862), ((2, 0), 1661)]",[0. 0.]
jan19boring_jan19boring_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-102,jan19boring/jan19boring_1_base_dev1000_rho0_t3.json,102,cfr_10external_plus_linear,cfr_external_linear,jan19boring_1_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,56001,"(3602.7154870033264,)",0.0,"[12.684757530271188, 9.765608125687976]",0.0,0.0,0.0,12.684757530271188,0.0,0.0,0.0,0.0,9.765608125687976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.684757530271188,22.393697388171724,0.0,0.0,1.0,0.0,0.0,9.765608125687976,24.21087541278895,0.0,0.0,1.0,0.0,69.05493845691984,46.60457280096069,3.1092764935454817,0.5582908035624937,0.5582908035624937,1.1102230246251565e-15,2.220446049250313e-16,"[((0, 4), 4474), ((1, 2), 3856), ((2, 0), 1663)]",[0.00000000e+00 2.22044605e-16],0.0,0.0,1.0,0.0,0.0,12.534163905390537,22.549244435443548,0.0,0.0,1.0,0.0,0.0,9.613581847184715,24.367916302630263,0.0,0.0,1.0,0.0,69.06490649064907,46.91716073807383,3.328832883288329,0.5578557855785579,0.5578557855785579,0.0,0.0,"[((0, 4), 4476), ((1, 2), 3862), ((2, 0), 1661)]",[0. 0.]
jan19boring_jan19boring_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-103,jan19boring/jan19boring_1_base_dev1000_rho0_t3.json,103,cfr_10external_plus_linear,cfr_external_linear,jan19boring_1_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,56501,"(3610.344601392746,)",0.0,"[12.684757530271188, 9.765608125687976]",0.0,0.0,0.0,12.684757530271188,0.0,0.0,0.0,0.0,9.765608125687976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.684757530271188,22.393697388171724,0.0,0.0,1.0,0.0,0.0,9.765608125687976,24.21087541278895,0.0,0.0,1.0,0.0,69.05493845691984,46.60457280096069,3.1092764935454817,0.5582908035624937,0.5582908035624937,1.1102230246251565e-15,2.220446049250313e-16,"[((0, 4), 4474), ((1, 2), 3856), ((2, 0), 1663)]",[0.00000000e+00 2.22044605e-16],0.0,0.0,1.0,0.0,0.0,12.534163905390537,22.549244435443548,0.0,0.0,1.0,0.0,0.0,9.613581847184715,24.367916302630263,0.0,0.0,1.0,0.0,69.06490649064907,46.91716073807383,3.328832883288329,0.5578557855785579,0.5578557855785579,0.0,0.0,"[((0, 4), 4476), ((1, 2), 3862), ((2, 0), 1661)]",[0. 0.]
jan19boring_jan19boring_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-104,jan19boring/jan19boring_1_base_dev1000_rho0_t3.json,104,cfr_10external_plus_linear,cfr_external_linear,jan19boring_1_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,56751,"(3607.558190345764,)",0.0,"[12.684757530271188, 9.765608125687976]",0.0,0.0,0.0,12.684757530271188,0.0,0.0,0.0,0.0,9.765608125687976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.684757530271188,22.393697388171724,0.0,0.0,1.0,0.0,0.0,9.765608125687976,24.21087541278895,0.0,0.0,1.0,0.0,69.05493845691984,46.60457280096069,3.1092764935454817,0.5582908035624937,0.5582908035624937,1.1102230246251565e-15,2.220446049250313e-16,"[((0, 4), 4474), ((1, 2), 3856), ((2, 0), 1663)]",[0.00000000e+00 2.22044605e-16],0.0,0.0,1.0,0.0,0.0,12.534163905390537,22.549244435443548,0.0,0.0,1.0,0.0,0.0,9.613581847184715,24.367916302630263,0.0,0.0,1.0,0.0,69.06490649064907,46.91716073807383,3.328832883288329,0.5578557855785579,0.5578557855785579,0.0,0.0,"[((0, 4), 4476), ((1, 2), 3862), ((2, 0), 1661)]",[0. 0.]
jan19boring_jan19boring_3_base_dev1000_rho1_t3-cfr_10external_plus_linear-100,jan19boring/jan19boring_3_base_dev1000_rho1_t3.json,100,cfr_10external_plus_linear,cfr_external_linear,jan19boring_3_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,True,75501,"(3611.8556156158447,)",0.0,"[6.67355267759478, 14.095380737448036]",0.0,0.0,0.0,6.67355267759478,0.0,0.0,0.0,0.0,14.095380737448036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.67355267759478,23.648027413706856,0.0,0.0,1.0,0.0,0.0,14.095380737448036,22.959693246623313,0.0,0.0,1.0,0.0,67.37665407537298,46.60772066033018,3.111655827913957,0.6596298149074538,0.6596298149074538,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 4441), ((0, 4), 3376), ((1, 2), 2178)]",[-1.11022302e-16  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,6.421485126395866,24.123235966568316,0.0,0.0,1.0,0.0,0.0,13.978634253658443,22.813994137452493,0.0,0.0,1.0,0.0,67.33734948407512,46.93723010402083,3.343268653730746,0.7811562312462492,0.7811562312462492,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 5006), ((0, 4), 3329), ((1, 2), 1663)]",[-1.11022302e-16  0.00000000e+00]
jan19boring_jan19boring_3_base_dev1000_rho1_t3-cfr_10external_plus_linear-101,jan19boring/jan19boring_3_base_dev1000_rho1_t3.json,101,cfr_10external_plus_linear,cfr_external_linear,jan19boring_3_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,True,74001,"(3607.4582266807556,)",0.0,"[6.67355267759478, 14.095380737448036]",0.0,0.0,0.0,6.67355267759478,0.0,0.0,0.0,0.0,14.095380737448036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.67355267759478,23.648027413706856,0.0,0.0,1.0,0.0,0.0,14.095380737448036,22.959693246623313,0.0,0.0,1.0,0.0,67.37665407537298,46.60772066033018,3.111655827913957,0.6596298149074538,0.6596298149074538,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 4441), ((0, 4), 3376), ((1, 2), 2178)]",[-1.11022302e-16  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,6.421485126395866,24.123235966568316,0.0,0.0,1.0,0.0,0.0,13.978634253658443,22.813994137452493,0.0,0.0,1.0,0.0,67.33734948407512,46.93723010402083,3.343268653730746,0.7811562312462492,0.7811562312462492,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 5006), ((0, 4), 3329), ((1, 2), 1663)]",[-1.11022302e-16  0.00000000e+00]
jan19boring_jan19boring_3_base_dev1000_rho1_t3-cfr_10external_plus_linear-102,jan19boring/jan19boring_3_base_dev1000_rho1_t3.json,102,cfr_10external_plus_linear,cfr_external_linear,jan19boring_3_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,True,79751,"(3610.9181292057037,)",0.0,"[6.67355267759478, 14.095380737448036]",0.0,0.0,0.0,6.67355267759478,0.0,0.0,0.0,0.0,14.095380737448036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.67355267759478,23.648027413706856,0.0,0.0,1.0,0.0,0.0,14.095380737448036,22.959693246623313,0.0,0.0,1.0,0.0,67.37665407537298,46.60772066033018,3.111655827913957,0.6596298149074538,0.6596298149074538,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 4441), ((0, 4), 3376), ((1, 2), 2178)]",[-1.11022302e-16  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,6.421485126395866,24.123235966568316,0.0,0.0,1.0,0.0,0.0,13.978634253658443,22.813994137452493,0.0,0.0,1.0,0.0,67.33734948407512,46.93723010402083,3.343268653730746,0.7811562312462492,0.7811562312462492,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 5006), ((0, 4), 3329), ((1, 2), 1663)]",[-1.11022302e-16  0.00000000e+00]
jan19boring_jan19boring_3_base_dev1000_rho1_t3-cfr_10external_plus_linear-103,jan19boring/jan19boring_3_base_dev1000_rho1_t3.json,103,cfr_10external_plus_linear,cfr_external_linear,jan19boring_3_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,True,67251,"(3608.3019864559174,)",0.0,"[6.67355267759478, 14.095380737448036]",0.0,0.0,0.0,6.67355267759478,0.0,0.0,0.0,0.0,14.095380737448036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.67355267759478,23.648027413706856,0.0,0.0,1.0,0.0,0.0,14.095380737448036,22.959693246623313,0.0,0.0,1.0,0.0,67.37665407537298,46.60772066033018,3.111655827913957,0.6596298149074538,0.6596298149074538,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 4441), ((0, 4), 3376), ((1, 2), 2178)]",[-1.11022302e-16  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,6.421485126395866,24.123235966568316,0.0,0.0,1.0,0.0,0.0,13.978634253658443,22.813994137452493,0.0,0.0,1.0,0.0,67.33734948407512,46.93723010402083,3.343268653730746,0.7811562312462492,0.7811562312462492,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 5006), ((0, 4), 3329), ((1, 2), 1663)]",[-1.11022302e-16  0.00000000e+00]
jan19boring_jan19boring_3_base_dev1000_rho1_t3-cfr_10external_plus_linear-104,jan19boring/jan19boring_3_base_dev1000_rho1_t3.json,104,cfr_10external_plus_linear,cfr_external_linear,jan19boring_3_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,True,67751,"(3615.4596264362335,)",0.0,"[6.67355267759478, 14.095380737448036]",0.0,0.0,0.0,6.67355267759478,0.0,0.0,0.0,0.0,14.095380737448036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.67355267759478,23.648027413706856,0.0,0.0,1.0,0.0,0.0,14.095380737448036,22.959693246623313,0.0,0.0,1.0,0.0,67.37665407537298,46.60772066033018,3.111655827913957,0.6596298149074538,0.6596298149074538,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 4441), ((0, 4), 3376), ((1, 2), 2178)]",[-1.11022302e-16  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,6.421485126395866,24.123235966568316,0.0,0.0,1.0,0.0,0.0,13.978634253658443,22.813994137452493,0.0,0.0,1.0,0.0,67.33734948407512,46.93723010402083,3.343268653730746,0.7811562312462492,0.7811562312462492,-1.3322676295501878e-15,-1.1102230246251565e-16,"[((2, 0), 5006), ((0, 4), 3329), ((1, 2), 1663)]",[-1.11022302e-16  0.00000000e+00]
jan19boring_jan19boring_4_base_dev1000_rho1_t3_tie_break-cfr_10external_plus_linear-100,jan19boring/jan19boring_4_base_dev1000_rho1_t3_tie_break.json,100,cfr_10external_plus_linear,cfr_external_linear,jan19boring_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,True,51751,"(3628.776738882065,)",0.0,"[14.268090657828981, 18.015826211324356]",0.0,0.0,0.0,14.268090657828981,0.0,0.0,0.0,0.0,18.015826211324356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.268090657828981,22.877001601281034,0.0,0.0,1.0,0.0,0.0,18.015826211324356,22.080796637309856,0.0,0.0,1.0,0.0,77.24171510774423,44.95779823859089,3.0,0.3344675740592474,0.3344675740592474,1.5022017614091265,0.3004403522818253,"[((1, 2), 8900), ((0, 4), 1092)]",[0.         0.30044035],0.0,0.0,1.0,0.0,0.0,13.902000749133684,24.03421845607365,0.0,0.0,1.0,0.0,0.0,17.907156679171074,23.030139963978396,0.0,0.0,1.0,0.0,78.8735158483568,47.064358420052045,3.4456674004402643,0.5528316990194116,0.5528316990194116,1.3322676295501878e-15,1.1102230246251565e-16,"[((1, 2), 6791), ((2, 0), 2260), ((0, 4), 943)]",[1.11022302e-16 0.00000000e+00]
jan19boring_jan19boring_4_base_dev1000_rho1_t3_tie_break-cfr_10external_plus_linear-101,jan19boring/jan19boring_4_base_dev1000_rho1_t3_tie_break.json,101,cfr_10external_plus_linear,cfr_external_linear,jan19boring_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,True,51251,"(3624.138420343399,)",0.0,"[14.268090657828981, 18.015826211324356]",0.0,0.0,0.0,14.268090657828981,0.0,0.0,0.0,0.0,18.015826211324356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.268090657828981,22.877001601281034,0.0,0.0,1.0,0.0,0.0,18.015826211324356,22.080796637309856,0.0,0.0,1.0,0.0,77.24171510774423,44.95779823859089,3.0,0.3344675740592474,0.3344675740592474,1.5022017614091265,0.3004403522818253,"[((1, 2), 8900), ((0, 4), 1092)]",[0.         0.30044035],0.0,0.0,1.0,0.0,0.0,13.902000749133684,24.03421845607365,0.0,0.0,1.0,0.0,0.0,17.907156679171074,23.030139963978396,0.0,0.0,1.0,0.0,78.8735158483568,47.064358420052045,3.4456674004402643,0.5528316990194116,0.5528316990194116,1.3322676295501878e-15,1.1102230246251565e-16,"[((1, 2), 6791), ((2, 0), 2260), ((0, 4), 943)]",[1.11022302e-16 0.00000000e+00]
jan19boring_jan19boring_4_base_dev1000_rho1_t3_tie_break-cfr_10external_plus_linear-102,jan19boring/jan19boring_4_base_dev1000_rho1_t3_tie_break.json,102,cfr_10external_plus_linear,cfr_external_linear,jan19boring_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,True,52751,"(3608.73268866539,)",0.0,"[14.268090657828981, 18.015826211324356]",0.0,0.0,0.0,14.268090657828981,0.0,0.0,0.0,0.0,18.015826211324356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.268090657828981,22.877001601281034,0.0,0.0,1.0,0.0,0.0,18.015826211324356,22.080796637309856,0.0,0.0,1.0,0.0,77.24171510774423,44.95779823859089,3.0,0.3344675740592474,0.3344675740592474,1.5022017614091265,0.3004403522818253,"[((1, 2), 8900), ((0, 4), 1092)]",[0.         0.30044035],0.0,0.0,1.0,0.0,0.0,13.902000749133684,24.03421845607365,0.0,0.0,1.0,0.0,0.0,17.907156679171074,23.030139963978396,0.0,0.0,1.0,0.0,78.8735158483568,47.064358420052045,3.4456674004402643,0.5528316990194116,0.5528316990194116,1.3322676295501878e-15,1.1102230246251565e-16,"[((1, 2), 6791), ((2, 0), 2260), ((0, 4), 943)]",[1.11022302e-16 0.00000000e+00]
jan19boring_jan19boring_4_base_dev1000_rho1_t3_tie_break-cfr_10external_plus_linear-103,jan19boring/jan19boring_4_base_dev1000_rho1_t3_tie_break.json,103,cfr_10external_plus_linear,cfr_external_linear,jan19boring_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,True,58501,"(3609.4768402576447,)",0.0,"[14.268090657828981, 18.015826211324356]",0.0,0.0,0.0,14.268090657828981,0.0,0.0,0.0,0.0,18.015826211324356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.268090657828981,22.877001601281034,0.0,0.0,1.0,0.0,0.0,18.015826211324356,22.080796637309856,0.0,0.0,1.0,0.0,77.24171510774423,44.95779823859089,3.0,0.3344675740592474,0.3344675740592474,1.5022017614091265,0.3004403522818253,"[((1, 2), 8900), ((0, 4), 1092)]",[0.         0.30044035],0.0,0.0,1.0,0.0,0.0,13.902000749133684,24.03421845607365,0.0,0.0,1.0,0.0,0.0,17.907156679171074,23.030139963978396,0.0,0.0,1.0,0.0,78.8735158483568,47.064358420052045,3.4456674004402643,0.5528316990194116,0.5528316990194116,1.3322676295501878e-15,1.1102230246251565e-16,"[((1, 2), 6791), ((2, 0), 2260), ((0, 4), 943)]",[1.11022302e-16 0.00000000e+00]
jan19boring_jan19boring_4_base_dev1000_rho1_t3_tie_break-cfr_10external_plus_linear-104,jan19boring/jan19boring_4_base_dev1000_rho1_t3_tie_break.json,104,cfr_10external_plus_linear,cfr_external_linear,jan19boring_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,True,50501,"(3609.4570615291595,)",0.0,"[14.268090657828981, 18.015826211324356]",0.0,0.0,0.0,14.268090657828981,0.0,0.0,0.0,0.0,18.015826211324356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.268090657828981,22.877001601281034,0.0,0.0,1.0,0.0,0.0,18.015826211324356,22.080796637309856,0.0,0.0,1.0,0.0,77.24171510774423,44.95779823859089,3.0,0.3344675740592474,0.3344675740592474,1.5022017614091265,0.3004403522818253,"[((1, 2), 8900), ((0, 4), 1092)]",[0.         0.30044035],0.0,0.0,1.0,0.0,0.0,13.902000749133684,24.03421845607365,0.0,0.0,1.0,0.0,0.0,17.907156679171074,23.030139963978396,0.0,0.0,1.0,0.0,78.8735158483568,47.064358420052045,3.4456674004402643,0.5528316990194116,0.5528316990194116,1.3322676295501878e-15,1.1102230246251565e-16,"[((1, 2), 6791), ((2, 0), 2260), ((0, 4), 943)]",[1.11022302e-16 0.00000000e+00]
jan19boring_jan19boring_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-100,jan19boring/jan19boring_0_base_dev1000_rho0_t3_tie_break.json,100,cfr_10external_plus_linear,cfr_external_linear,jan19boring_0_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,True,68251,"(3602.8975133895874,)",0.0,"[8.040424339471574, 18.865468374699756]",0.0,0.0,0.0,8.040424339471574,0.0,0.0,0.0,0.0,18.865468374699756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.040424339471574,22.132213771016815,0.0,0.0,1.0,0.0,0.0,18.865468374699756,24.327786228983193,0.0,0.0,1.0,0.0,73.36589271417134,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,0.0,0.0,"[((0, 4), 4491), ((1, 2), 4406), ((2, 0), 1095)]",[0. 0.],0.0,0.0,1.0,0.0,0.0,8.26486589271417,21.77856885508407,0.0,0.0,1.0,0.0,0.0,18.84028622898318,24.681431144915937,0.0,0.0,1.0,0.0,73.56515212169735,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,-1.1102230246251565e-15,-2.220446049250313e-16,"[((0, 4), 5038), ((1, 2), 4406), ((2, 0), 548)]",[ 0.00000000e+00 -2.22044605e-16]
jan19boring_jan19boring_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-101,jan19boring/jan19boring_0_base_dev1000_rho0_t3_tie_break.json,101,cfr_10external_plus_linear,cfr_external_linear,jan19boring_0_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,True,67751,"(3610.031674861908,)",,"[8.040424339471574, 18.865468374699756]",,0.0,0.0,8.040424339471574,,,0.0,0.0,18.865468374699756,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.040424339471574,22.132213771016815,0.0,0.0,1.0,0.0,0.0,18.865468374699756,24.327786228983193,0.0,0.0,1.0,0.0,73.36589271417134,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,0.0,0.0,"[((0, 4), 4491), ((1, 2), 4406), ((2, 0), 1095)]",[0. 0.],0.0,0.0,1.0,0.0,0.0,8.26486589271417,21.77856885508407,0.0,0.0,1.0,0.0,0.0,18.84028622898318,24.681431144915937,0.0,0.0,1.0,0.0,73.56515212169735,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,-1.1102230246251565e-15,-2.220446049250313e-16,"[((0, 4), 5038), ((1, 2), 4406), ((2, 0), 548)]",[ 0.00000000e+00 -2.22044605e-16]
jan19boring_jan19boring_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-102,jan19boring/jan19boring_0_base_dev1000_rho0_t3_tie_break.json,102,cfr_10external_plus_linear,cfr_external_linear,jan19boring_0_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,True,59501,"(3603.1258232593536,)",,"[8.040424339471574, 18.865468374699756]",,0.0,0.0,8.040424339471574,,,0.0,0.0,18.865468374699756,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.040424339471574,22.132213771016815,0.0,0.0,1.0,0.0,0.0,18.865468374699756,24.327786228983193,0.0,0.0,1.0,0.0,73.36589271417134,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,0.0,0.0,"[((0, 4), 4491), ((1, 2), 4406), ((2, 0), 1095)]",[0. 0.],0.0,0.0,1.0,0.0,0.0,8.26486589271417,21.77856885508407,0.0,0.0,1.0,0.0,0.0,18.84028622898318,24.681431144915937,0.0,0.0,1.0,0.0,73.56515212169735,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,-1.1102230246251565e-15,-2.220446049250313e-16,"[((0, 4), 5038), ((1, 2), 4406), ((2, 0), 548)]",[ 0.00000000e+00 -2.22044605e-16]
jan19boring_jan19boring_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-103,jan19boring/jan19boring_0_base_dev1000_rho0_t3_tie_break.json,103,cfr_10external_plus_linear,cfr_external_linear,jan19boring_0_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,True,69645,"(3600.014233827591,)",0.0,"[8.040424339471574, 18.865468374699756]",0.0,0.0,0.0,8.040424339471574,0.0,0.0,0.0,0.0,18.865468374699756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.040424339471574,22.132213771016815,0.0,0.0,1.0,0.0,0.0,18.865468374699756,24.327786228983193,0.0,0.0,1.0,0.0,73.36589271417134,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,0.0,0.0,"[((0, 4), 4491), ((1, 2), 4406), ((2, 0), 1095)]",[0. 0.],0.0,0.0,1.0,0.0,0.0,8.26486589271417,21.77856885508407,0.0,0.0,1.0,0.0,0.0,18.84028622898318,24.681431144915937,0.0,0.0,1.0,0.0,73.56515212169735,46.460000000000015,3.0,0.6633306645316253,0.6633306645316253,-1.1102230246251565e-15,-2.220446049250313e-16,"[((0, 4), 5038), ((1, 2), 4406), ((2, 0), 548)]",[ 0.00000000e+00 -2.22044605e-16]
